;Ýstasyon;Parametre;Min. Deðer;Min. Tarih;Max. Deðer;Max. Tarih;Ort. Deðer;Veri Adeti;Olmasý Gereken Veri;Veri Yüzdesi;Standart Sapma;Toplam Deðer
;Ankara - Keçiören Sanatoryum;O3;1,19;17.10.2014;29853,69;17.12.2010;45,19;6847;14795;46,28;361,45;309435,93
;Ankara - Keçiören Sanatoryum;SO2;0,1;17.03.2015;148,88;24.01.2012;8,92;6729;14795;45,48;7,89;60011,09
;Ankara - Keçiören Sanatoryum;NOX;2,98;25.03.2019;915,48;19.12.2019;98,4;6546;14795;44,24;73,14;644097,42
;Ankara - Keçiören Sanatoryum;RuzgarHizi;-0,12;26.12.2018;26,37;17.08.2011;2,27;6543;14795;44,22;0,95;14836,97
;Ankara - Keçiören Sanatoryum;RuzgarYon;6,28;6.06.2015;302,96;26.06.2011;145,84;6542;14795;44,22;73,18;954052,62
;Ankara - Keçiören Sanatoryum;GunesRadyasyon;-375,56;10.09.2013;394,32;29.05.2008;-101,62;6542;14795;44,22;193,69;-664822,49
;Ankara - Keçiören Sanatoryum;UVARadyasyonu;-17,52;1.06.2014;16,93;18.06.2012;-0,12;6542;14795;44,22;8,3;-812,46
;Ankara - Keçiören Sanatoryum;UVBRadyasyon;-0,8;16.05.2015;4,78;10.07.2015;1,18;6542;14795;44,22;1,42;7730,27
;Ankara - Keçiören Sanatoryum;NO2;0,97;22.01.2019;508,91;28.10.2019;52,76;6502;14795;43,95;27,09;343074,66
;Ankara - Keçiören Sanatoryum;NO;0;11.04.2015;706,53;19.12.2019;44,97;6503;14795;43,95;54,59;292434,23
;Ankara - Keçiören Sanatoryum;PM25;0,5;5.04.2019;5014,4;15.05.2008;23,59;6243;14795;42,2;74,5;147269,56
;Ankara - Keçiören Sanatoryum;KabinNem;12;24.11.2016;70,55;17.12.2010;25,78;4267;14795;28,84;15,13;110021,46
;Ankara - Keçiören Sanatoryum;PM10Debi;0,81;13.06.2019;0,83;1.06.2019;0,83;582;14795;3,93;0;482,84
;Ankara - Keçiören Sanatoryum;PM25Debi;0,81;13.06.2019;0,83;1.06.2019;0,83;580;14795;3,92;0;481,21
;Ankara - Keçiören Sanatoryum;SampleFlow;1,44;4.12.2019;1,92;18.06.2019;1,74;555;14795;3,75;0,11;964,28
;Ankara - Keçiören Sanatoryum;Enverziyon;0;8.01.2012;81,25;30.01.2012;28,86;51;14795;0,34;22,36;1471,62
;Ankara - Keçiören Sanatoryum;CO;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;Debi;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;Sicaklik;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;Arsenik;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;BOS;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;Benzen;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;CH4;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;CO_2;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;CS_tei;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;Cd;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;Elektrik;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;EtillBenzene;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;H2S_tei;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;HC;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;Hg;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;NMHC;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;Nem;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;Ni;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;OKsilen;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;PAH_BAP;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;PM1;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;PM10Debi_2;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;Pb;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;SO2Test;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;SolarRadyasyon;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;TestChannel;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;ToplamKsilen;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;Toulen;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;Yagmur;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;mKsilen;;;;;;0;14795;0;;0
;Ankara - Keçiören Sanatoryum;pKsilen;;;;;;0;14795;0;;0
Ýstasyon: Ankara - Sýhhýye;;;;;;;;;;;;
;Ankara - Sýhhýye;HavaSicakligi;-8,12;2.02.2012;38,59;14.08.2019;14,59;7055;14795;47,69;8,56;102920,27
;Ankara - Sýhhýye;HavaBasinc;883,31;15.01.2019;1535,55;16.05.2015;998,68;7055;14795;47,69;100,19;7045688,69
;Ankara - Sýhhýye;BagilNem;-24,1;6.01.2010;107,59;4.06.2015;53,46;7055;14795;47,69;18,81;377159,28
;Ankara - Sýhhýye;CO;0,71;28.12.2009;15274,12;1.04.2014;1276,11;6895;14795;46,6;723,56;8798783,69
;Ankara - Sýhhýye;PM10;0,15;12.06.2019;703,47;26.12.2012;76,34;6779;14795;45,82;50,25;517489,91
;Ankara - Sýhhýye;NO2;0,01;13.04.2014;458,21;30.03.2011;68,09;6695;14795;45,25;34,39;455889,98
;Ankara - Sýhhýye;NOX;0,03;13.04.2014;752,02;19.12.2019;147,71;6695;14795;45,25;83,9;988905,46
;Ankara - Sýhhýye;NO;0,02;13.04.2014;576,68;19.12.2019;78,44;6695;14795;45,25;63,86;525174,92
;Ankara - Sýhhýye;SO2;0,2;15.09.2016;118,26;16.04.2014;10,19;6683;14795;45,17;8,72;68111,44
;Ankara - Sýhhýye;KabinSicakligi;11,27;2.01.2016;38,23;4.06.2010;17,59;6041;14795;40,83;3,46;106251,55
;Ankara - Sýhhýye;RuzgarHizi;0,13;7.01.2010;23,64;16.08.2011;2,35;5835;14795;39,44;2,91;13722,92
;Ankara - Sýhhýye;GunesRadyasyon;-42,99;21.03.2011;719,5;15.08.2011;372,03;5835;14795;39,44;132,2;2170781,93
;Ankara - Sýhhýye;RuzgarYon;43,88;17.01.2010;337,98;21.08.2010;202,97;5823;14795;39,36;38,16;1181870,96
;Ankara - Sýhhýye;PM25;1,53;9.02.2020;228,69;21.01.2011;29,69;5768;14795;38,99;21,12;171238,5
;Ankara - Sýhhýye;O3;1,35;19.10.2018;79,18;12.08.2019;18,8;971;14795;6,56;15,96;18253,14
;Ankara - Sýhhýye;PM10Debi;0,81;11.06.2019;0,83;15.08.2018;0,83;617;14795;4,17;0;511,91
;Ankara - Sýhhýye;PM25Debi;0;16.08.2018;0,83;15.08.2018;0,83;601;14795;4,06;0,03;497,58
;Ankara - Sýhhýye;KabinNem;27,28;27.12.2019;28,38;9.02.2020;28,11;264;14795;1,78;0,11;7420,44
;Ankara - Sýhhýye;SampleFlow;-0,65;28.11.2019;6,31;27.11.2019;2,21;264;14795;1,78;0,89;584,62
;Ankara - Sýhhýye;Enverziyon;0;7.01.2012;237,38;14.09.2011;123,41;166;14795;1,12;86,96;20486,57
;Ankara - Sýhhýye;Debi;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;Sicaklik;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;Arsenik;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;BOS;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;Benzen;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;CH4;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;CO_2;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;CS_tei;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;Cd;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;Elektrik;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;EtillBenzene;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;H2S_tei;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;HC;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;Hg;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;NMHC;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;Nem;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;Ni;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;OKsilen;;;;;;0;14795;0;;0
;Ankara - Sýhhýye;PAH_BAP;;;;;;0;14795;0;;0
