Yil,PM10,SO2,CO,NO2,NOX,NO,HavaSicakligi,BagilNem,KabinSicakligi,KabinNem,PM25,IstasyonTipi,Gece/Gunduz,Haftasonu/Haftaici,Ay,Mevsim
2020,35.71,4.23,248.76,28.34,38.73,10.39,9.71,74.08,20.33,29.51,14.7,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,68.39,7.4,305.82,51.55,65.91,13.66,15.63,41.46,20.42,29.66,22.7,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,70.28,7.46,5899.52,78.54,136.45,57.91,12.02,47.81,20.34,29.52,25.7,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,59.24,7.48,2609.74,52.32,79.81,27.5,17.18,34.9,20.43,29.68,21.39,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,117.7,10.09,907.13,83.86,168.49,84.64,10.79,61.05,20.36,29.56,33.2,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,67.91,9.94,3912.72,164.94,558.38,393.45,16.55,40.64,20.46,29.72,41.43,Kentsel,Gunduz,Haftaici,3,Ilkbahar
2020,69.16,3.91,1027.33,85.69,168.83,83.14,4.69,77.59,20.29,29.45,25.18,Kentsel,Gece,Haftaici,3,Ilkbahar
2020,33.89,3.46,793.88,57.18,95.64,38.46,10.47,48.39,20.41,29.64,13.22,Kentsel,Gunduz,Haftasonu,3,Ilkbahar
2020,22.77,2.35,503.35,62.36,72.56,10.2,4.2,77.84,20.32,29.5,11.63,Kentsel,Gece,Haftasonu,3,Ilkbahar
2020,31.33,3.09,376.74,42.95,53.52,10.57,8.89,64.57,20.39,29.61,17.49,Kentsel,Gunduz,Haftasonu,2,Kis
2020,50.37,2.37,436.16,56.44,72.42,15.98,7.04,90.9,20.28,29.43,20.69,Kentsel,Gece,Haftasonu,2,Kis
2020,50.42,4.19,507.79,59.13,80.85,21.72,10.91,60.31,20.36,29.57,15.63,Kentsel,Gunduz,Haftaici,2,Kis
2020,27.89,2.28,245.31,35.4,43.34,7.94,6.78,82.31,20.33,29.52,14.48,Kentsel,Gece,Haftaici,2,Kis
2020,43.96,2.63,280.87,34.37,42.9,8.52,11.86,60.31,20.39,29.61,17.26,Kentsel,Gunduz,Haftaici,2,Kis
2020,43.51,2.64,250.06,43.75,50.04,6.29,10.41,49.57,20.3,29.46,16.74,Kentsel,Gece,Haftaici,2,Kis
2020,44.88,4.92,606.62,41.49,66.38,24.88,16.15,31.74,20.48,29.75,19.87,Kentsel,Gunduz,Haftaici,2,Kis
2020,69.31,5.46,1186.94,92.5,201.51,109.01,3.97,61.73,20.28,29.42,22.28,Kentsel,Gece,Haftaici,2,Kis
2020,45.09,4.82,726.32,71.48,114.79,43.31,9.17,35.89,20.39,29.61,16.98,Kentsel,Gunduz,Haftaici,2,Kis
2020,22.89,2.73,220.04,33.46,48.43,12.39,5.02,61.33,20.26,29.39,11.79,Kentsel,Gece,Haftaici,2,Kis
2020,31.05,2.75,550.47,38.37,47.04,8.67,11.38,57.86,20.38,29.59,12.74,Kentsel,Gunduz,Haftaici,2,Kis
2020,14.41,1.88,420.47,39.31,48.45,9.15,8.86,80.66,20.36,29.55,10.17,Kentsel,Gece,Haftaici,2,Kis
2020,31.88,3.46,664.05,51.05,66.78,15.74,27.49,50.64,20.36,29.56,10.61,Kentsel,Gunduz,Haftasonu,2,Kis
2020,11.8,2.54,318.02,31.84,38.52,6.88,2.34,88.49,20.27,29.4,5.62,Kentsel,Gece,Haftasonu,2,Kis
2020,20.09,1.9,437.84,54.64,65.08,10.44,3.33,95.07,20.25,29.38,12.31,Kentsel,Gunduz,Haftasonu,2,Kis
2020,15.91,1.62,416.12,42.93,47.63,4.7,3.83,96.22,20.24,29.35,7.48,Kentsel,Gece,Haftasonu,2,Kis
2020,46.43,2.59,435.89,72.04,91.08,19.04,5.66,94.49,20.29,29.43,16.79,Kentsel,Gunduz,Haftaici,2,Kis
2020,63.59,4.8,578.73,70.62,94.28,23.66,6.45,82.89,20.29,29.44,23.07,Kentsel,Gece,Haftaici,2,Kis
2020,86.88,7.1,537.76,71.25,103.15,31.9,11.19,51.53,20.36,29.55,28.04,Kentsel,Gunduz,Haftaici,2,Kis
2020,107.56,8.0,1149.19,89.56,212.5,127.25,5.39,71.34,20.23,29.35,35.66,Kentsel,Gece,Haftaici,2,Kis
2020,92.01,8.08,846.6,88.01,182.22,94.21,10.85,48.15,20.39,29.61,31.77,Kentsel,Gunduz,Haftaici,2,Kis
2020,94.78,7.09,1342.35,97.25,219.76,122.51,3.14,77.14,20.3,29.47,31.88,Kentsel,Gece,Haftaici,2,Kis
2020,72.15,6.24,732.25,78.21,120.72,42.52,9.69,44.56,20.42,29.66,24.26,Kentsel,Gunduz,Haftaici,2,Kis
2020,75.2,7.51,946.69,89.93,176.29,86.36,2.51,63.12,20.29,29.44,33.87,Kentsel,Gece,Haftaici,2,Kis
2020,36.67,5.7,622.01,62.88,102.43,39.56,9.27,35.72,20.42,29.66,27.19,Kentsel,Gunduz,Haftaici,2,Kis
2020,38.1,4.47,624.63,61.1,97.38,36.27,3.41,80.35,20.26,29.4,18.32,Kentsel,Gece,Haftaici,2,Kis
2020,35.63,4.64,297.26,34.17,41.69,7.52,7.88,61.05,20.35,29.54,14.34,Kentsel,Gunduz,Haftasonu,2,Kis
2020,69.29,7.63,546.24,68.44,77.4,8.96,5.29,69.89,20.27,29.4,22.86,Kentsel,Gece,Haftasonu,2,Kis
2020,87.0,8.76,650.24,71.58,93.55,21.97,8.85,51.12,20.38,29.59,28.33,Kentsel,Gunduz,Haftasonu,2,Kis
2020,68.14,6.86,385.02,61.06,72.12,11.07,3.45,69.87,20.26,29.38,26.84,Kentsel,Gece,Haftasonu,2,Kis
2020,52.49,5.01,581.57,64.96,93.11,28.14,6.05,57.11,20.33,29.51,24.69,Kentsel,Gunduz,Haftaici,2,Kis
2020,58.54,4.86,906.43,92.81,162.96,70.15,0.57,77.02,20.25,29.38,25.88,Kentsel,Gece,Haftaici,2,Kis
2020,36.21,5.41,594.98,58.1,102.14,44.04,5.22,55.08,20.37,29.57,17.23,Kentsel,Gunduz,Haftaici,2,Kis
2020,37.39,2.9,424.94,58.25,74.78,16.52,3.04,94.68,20.18,29.26,21.57,Kentsel,Gece,Haftaici,2,Kis
2020,40.73,3.07,434.97,81.26,112.42,31.16,3.93,91.54,20.19,29.28,23.26,Kentsel,Gunduz,Haftaici,2,Kis
2020,93.36,4.58,906.87,93.23,192.81,99.58,2.65,95.01,20.17,29.24,42.88,Kentsel,Gece,Haftaici,2,Kis
2020,75.01,5.26,996.56,97.55,187.96,90.41,0.85,88.93,20.15,29.22,38.62,Kentsel,Gunduz,Haftaici,2,Kis
2020,33.46,2.62,474.47,29.44,34.63,5.19,-3.14,78.23,20.12,29.16,26.02,Kentsel,Gece,Haftaici,2,Kis
2020,50.32,5.09,287.37,36.68,56.52,9.4,0.42,63.46,20.16,29.22,23.39,Kentsel,Gunduz,Haftaici,2,Kis
2020,28.71,4.61,217.86,44.28,52.53,8.25,-3.04,83.23,20.18,29.25,6.89,Kentsel,Gece,Haftaici,2,Kis
2020,27.78,3.93,199.59,14.58,3.96,7.91,-2.41,78.9,20.16,29.23,17.24,Kentsel,Gunduz,Haftasonu,2,Kis
2020,27.63,3.04,418.24,28.72,35.17,6.45,-5.73,86.15,20.14,29.18,8.44,Kentsel,Gece,Haftasonu,2,Kis
2020,25.89,3.64,237.8,14.14,15.49,15.38,-3.07,60.53,20.2,29.3,14.7,Kentsel,Gunduz,Haftasonu,2,Kis
2020,28.72,1.89,142.85,14.58,13.53,7.25,-2.39,65.13,20.14,29.2,17.81,Kentsel,Gece,Haftasonu,2,Kis
2020,17.27,2.95,302.59,31.63,36.42,4.79,1.93,66.32,20.2,29.29,3.95,Kentsel,Gunduz,Haftaici,2,Kis
2020,21.67,2.23,386.02,39.99,53.4,13.4,2.87,84.62,20.19,29.28,16.68,Kentsel,Gece,Haftaici,2,Kis
2020,34.5,2.58,519.81,74.53,94.01,19.48,4.8,94.67,20.22,29.33,21.76,Kentsel,Gunduz,Haftaici,2,Kis
2020,36.57,2.34,470.71,48.72,88.77,40.04,6.21,88.18,20.23,29.34,15.71,Kentsel,Gece,Haftaici,2,Kis
2020,27.54,3.37,64.08,23.67,28.29,4.63,12.89,64.44,20.3,29.46,12.51,Kentsel,Gunduz,Haftaici,2,Kis
2020,23.39,3.5,286.31,22.81,27.27,4.46,9.54,77.05,20.48,29.76,7.5,Kentsel,Gece,Haftaici,2,Kis
2020,33.4,4.35,583.26,54.83,80.18,25.35,9.94,81.72,20.49,29.78,11.19,Kentsel,Gunduz,Haftaici,2,Kis
2020,40.7,3.31,387.15,27.87,35.85,7.99,8.39,93.67,20.5,29.79,13.87,Kentsel,Gece,Haftaici,2,Kis
2020,41.72,4.64,538.5,39.38,48.3,8.91,12.12,65.3,20.47,29.73,14.25,Kentsel,Gunduz,Haftaici,2,Kis
2020,40.02,4.99,870.78,77.14,130.61,62.66,7.15,82.35,20.54,29.85,13.62,Kentsel,Gece,Haftaici,2,Kis
2020,37.23,5.32,205.25,43.95,52.7,8.25,10.62,68.48,20.49,29.77,12.6,Kentsel,Gunduz,Haftasonu,2,Kis
